,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
4977,365,0,ets,12,0.047331822,434.3273638,0.09847256
4978,365,0,theta,12,0.04210384,393.3999049,0.091205892
4979,365,0,arima,12,0.033290368,307.9511497,0.070637231
4980,365,1,ets,12,0.086985837,755.5153764,0.163623383
4981,365,1,theta,12,0.058063843,546.5620272,0.131956839
4982,365,1,arima,12,0.058252928,521.8817279,0.114553542
4983,365,2,ets,12,0.093723154,960.9978727,0.239845746
4984,365,2,theta,12,0.099618812,1042.339852,0.261132624
4985,365,2,arima,12,0.091825086,952.5307836,0.240468431
5616,366,0,ets,3,0.020449653,459.5282008,0.043042176
5617,366,0,theta,3,0.031903207,729.1360883,0.068473259
5618,366,0,arima,3,0.017473179,393.0417651,0.037151549
5619,366,1,ets,3,0.042780767,931.1456739,0.079939924
5620,366,1,theta,3,0.043545953,981.329599,0.087698321
5621,366,1,arima,3,0.023918911,535.3579778,0.046490201
5622,366,2,ets,3,0.029122926,641.4391393,0.057756347
5623,366,2,theta,3,0.052840992,1196.052346,0.106845249
5624,366,2,arima,3,0.023855552,544.2953303,0.048578211
5625,366,0,ets,12,0.040629466,881.7172135,0.078475356
5626,366,0,theta,12,0.047960055,1017.009294,0.08882734
5627,366,0,arima,12,0.023160831,501.7134302,0.043688239
5628,366,1,ets,12,0.091442906,1675.353563,0.159678611
5629,366,1,theta,12,0.102890779,1854.440883,0.177968962
5630,366,1,arima,12,0.081674917,1500.931892,0.141513167
5631,366,2,ets,12,0.168771681,2310.100928,0.277914547
5632,366,2,theta,12,0.1725288,2342.238428,0.280612728
5633,366,2,arima,12,0.177355458,2405.069842,0.290271694
10620,382,0,ets,3,0.017867737,51.9951991,0.034842697
10621,382,0,theta,3,0.013193581,38.57050359,0.026117519
10622,382,0,arima,3,0.011576874,33.8982661,0.022794228
10623,382,1,ets,3,0.019516209,58.66566647,0.039697328
10624,382,1,theta,3,0.025956292,75.44342969,0.050367265
10625,382,1,arima,3,0.00893517,26.4342115,0.017045692
10626,382,2,ets,3,0.021230684,61.34233298,0.040970525
10627,382,2,theta,3,0.02484136,71.52187362,0.048284597
10628,382,2,arima,3,0.027910571,80.11863585,0.053740133
10629,382,0,ets,12,0.036207733,101.7526665,0.068472651
10630,382,0,theta,12,0.030597575,86.93737215,0.059151247
10631,382,0,arima,12,0.05149048,142.806333,0.096477466
10632,382,1,ets,12,0.090555471,212.088034,0.162211954
10633,382,1,theta,12,0.079063146,187.1442394,0.142039018
10634,382,1,arima,12,0.087603707,205.7316152,0.156475669
10635,382,2,ets,12,0.029063485,62.16666667,0.06044628
10636,382,2,theta,12,0.028117576,60.83877544,0.058942503
10637,382,2,arima,12,0.02116941,45.21931149,0.043351003
11574,412,0,ets,3,0.012188371,378.3886659,0.024853023
11575,412,0,theta,3,0.008776613,267.4277332,0.017142256
11576,412,0,arima,3,0.017010101,530.6698295,0.034727412
