,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
12,0,200,12,12,2,0.096473964,3364.042969,0.175293488
13,1,200,12,12,2,0.068747142,2459.401403,0.126761574
14,2,200,12,12,2,0.1083657,3738.165271,0.195415633
15,0,200,12,3,2,0.053834964,549.6726074,0.101221287
16,1,200,12,3,2,0.116124296,1119.49666,0.207415943
17,2,200,12,3,2,0.074973165,750.4478127,0.138411537
0,0,206,12,12,0,0.011902019,306.0318604,0.023732981
1,1,206,12,12,0,0.020744251,546.6663249,0.042376789
2,2,206,12,12,0,0.011215117,286.2074675,0.022162046
3,0,206,12,3,0,0.002480108,16.00256348,0.004959159
4,1,206,12,3,0,0.002713876,17.56301967,0.005447913
5,2,206,12,3,0,0.001184022,7.643547972,0.002370206
6,0,206,12,12,1,0.023551408,639.0256348,0.048479787
7,1,206,12,12,1,0.016856193,454.5852607,0.034575715
8,2,206,12,12,1,0.021184185,574.3098093,0.043663394
9,0,206,12,3,1,0.002976509,19.2791748,0.00596414
10,1,206,12,3,1,0.010634377,69.43649131,0.021503088
11,2,206,12,3,1,0.002425655,15.70783605,0.004868539
12,0,206,12,12,2,0.008773431,242.7921143,0.017510384
13,1,206,12,12,2,0.018379495,500.1402406,0.036029193
14,2,206,12,12,2,0.006776423,187.1645887,0.013471993
15,0,206,12,3,2,0.005700217,36.66003418,0.011338378
16,1,206,12,3,2,0.013838069,90.76057929,0.028072122
17,2,206,12,3,2,0.001080243,6.979471689,0.002154032
0,0,261,12,12,0,0.022563051,840.9401855,0.044863866
1,1,261,12,12,0,0.033522157,1205.798733,0.063922534
2,2,261,12,12,0,0.022095336,834.3998,0.045557388
3,0,261,12,3,0,0.008017707,75.89477539,0.015963009
4,1,261,12,3,0,0.031807075,289.4615136,0.06113405
5,2,261,12,3,0,0.009138728,86.00288998,0.018476624
6,0,261,12,12,1,0.032284704,1256.623535,0.067561978
7,1,261,12,12,1,0.05246523,1893.695953,0.097350135
8,2,261,12,12,1,0.020167052,778.3987879,0.042486642
9,0,261,12,3,1,0.030178189,281.7355957,0.06248499
10,1,261,12,3,1,0.016236702,144.9736622,0.031361032
11,2,261,12,3,1,0.030025744,280.2683541,0.062826589
12,0,261,12,12,2,0.040193104,1583.395996,0.08469843
13,1,261,12,12,2,0.066553518,2393.809611,0.121123981
14,2,261,12,12,2,0.026481376,1031.074775,0.054892121
15,0,261,12,3,2,0.019007039,179.770752,0.038269551
16,1,261,12,3,2,0.035611225,322.8908617,0.067707955
17,2,261,12,3,2,0.021498886,203.5932932,0.043558018
0,0,270,12,12,0,0.203854039,2556.95636,0.44567607
1,1,270,12,12,0,0.460271679,10804.77335,1.916837592
2,2,270,12,12,0,0.127856025,1747.86452,0.356704257
3,0,270,12,3,0,0.256303397,815.6477051,0.407537621
4,1,270,12,3,0,0.356303333,2212.999997,1.116123654
5,2,270,12,3,0,0.168011034,575.0871297,0.285236269
6,0,270,12,12,1,0.562334693,14559.93115,2.704954917
7,1,270,12,12,1,0.511757915,11877.79764,2.157850797
8,2,270,12,12,1,0.582075353,15782.93587,2.869671864
9,0,270,12,3,1,0.206747709,605.8100586,0.333121283
10,1,270,12,3,1,0.410236126,2459.619866,1.411976848
11,2,270,12,3,1,0.166817221,505.5339274,0.281089619
12,0,270,12,12,2,0.263445705,7341.599365,0.752088836
13,1,270,12,12,2,0.268880624,7548.758634,0.7833856
14,2,270,12,12,2,0.268420172,7531.088511,0.774078926
15,0,270,12,3,2,0.15309153,399.8916626,0.257575853
16,1,270,12,3,2,0.476272076,2739.07773,1.870478689
17,2,270,12,3,2,0.10482549,285.7775995,0.172841723
0,0,299,12,12,0,0.045901151,4873.293896,0.083433031
1,1,299,12,12,0,0.145050208,13657.05,0.226958213
2,2,299,12,12,0,0.043106117,4717.206178,0.093244414
3,0,299,12,3,0,0.051634622,1679.10293,0.094955651
4,1,299,12,3,0,0.244107951,6638.65,0.390909278
5,2,299,12,3,0,0.035873244,1174.616772,0.066738288
6,0,299,12,12,1,0.053555598,6080.067383,0.105529425
7,1,299,12,12,1,0.195978044,18683.9,0.3064383
8,2,299,12,12,1,0.042245854,4898.980069,0.096314621
9,0,299,12,3,1,0.03481814,899.3580566,0.078600098
10,1,299,12,3,1,0.104476979,2377.62209,0.160601876
11,2,299,12,3,1,0.056205804,1450.213506,0.126276433
12,0,299,12,12,2,0.089759433,10013.48867,0.222348429
13,1,299,12,12,2,0.203207278,17899.95,0.315982232
14,2,299,12,12,2,0.090672152,10445.11866,0.236950496
15,0,299,12,3,2,0.038508064,877.782959,0.086505749
16,1,299,12,3,2,0.055046975,1166.85,0.096603992
17,2,299,12,3,2,0.056521875,1313.003352,0.129361387
0,0,322,12,12,0,0.057813062,7269.131348,0.134984352
1,1,322,12,12,0,0.075145305,9632.216667,0.184662652
2,2,322,12,12,0,0.054574406,6844.07104,0.12906422
3,0,322,12,3,0,0.03016849,964.2895508,0.05860176
4,1,322,12,3,0,0.03361091,1113.999997,0.071993998
5,2,322,12,3,0,0.032267745,1067.150041,0.068888721
6,0,322,12,12,1,0.030886077,4042.845215,0.061465143
7,1,322,12,12,1,0.028882473,3926.5,0.063389329
8,2,322,12,12,1,0.022072598,2925.145981,0.044070612
9,0,322,12,3,1,0.142590408,4038.187012,0.33912917
10,1,322,12,3,1,0.171412335,5023.287803,0.433145657
11,2,322,12,3,1,0.120651114,3331.613207,0.291093573
12,0,322,12,12,2,0.011422232,1472.278809,0.023781809
13,1,322,12,12,2,0.051922655,6936.804613,0.126201359
14,2,322,12,12,2,0.021176008,2758.018951,0.049979062
15,0,322,12,3,2,0.053137202,1687.617188,0.113591727
16,1,322,12,3,2,0.067534884,2178,0.146596221
